actual,detected,cpv,cpv_desc,object
servei,subministrament,80500000-9,,contractació d’activitat d’educació viària en entorn lúdic adreçat als infants.(Pompeu Fabra)
servei,subministrament,85322000-2,,1.4.6. contracte menor entre 6.000 i 9.999 - Compra d'un aplicatiu pel departament de comunicació
subministrament,servei,39522000-7,,1.4.6. Contracte menor de 10.000 o més - contractació de reposició de 38 ud. de persianes d’alumini de l’edifici de Seguretat Ciutadana
subministrament,servei,34223300-9,,"1.4.6. contracte menor entre 6.000 i 9.999 - Compra d’un remolc muntat amb una cubà d’aigua per servei de manteniment i neteja de platges per la neteja de passarel·les i plataformes de serveis de dutxes, fonts i rentapeus"
subministrament,servei,42995200-9,,1.4.6. contracte menor entre 6.000 i 9.999 - compra de d’una màquina per al servei de platges
servei,subministrament,66114000-2,,adquisició vehicles en sistema renting Ford transit  courier van
servei,subministrament,66516000-0,,Responsabilitat civil i patrimonial
servei,subministrament,66513100-0,,Defensa Jurídica i reclamació de danys
servei,subministrament,79110000-8,,Representació de l’Ajuntament en el procediment abreujat 465/2022/E i en les mesures cautelars 19/2023/E.
servei,subministrament,79110000-8,,Representació i defensa de l’Ajuntament de Cunit en aquest procediment abreujat núm. 73/2022/D plantejat davant el Jutjat Contenciós 2 de Tarragona
servei,subministrament,79110000-8,,Representació i defensa de l’Ajuntament de Cunit en aquest procediment 1043.2022.G plantejat davant el Jutjat Social nº 1 de Tarragona
subministrament,servei,35112000-2||92332000-7||71317200-5||92332000-7||92332000-7||71317200-5||92332000-7||71317200-5||35112000-2,,"Servei de prevenció d’accidents, vigilància, salvament i socorrisme, tant a la sorra com a l’aigua, als usuaris de les platges del terme municipal de Cunit, durant la temporada de bany."
subministrament,obra,37535280-3,,1.4.6. Contracte menor de 10.000 o més - Construcción de una gradería al camp de futbol municipal
servei,subministrament,80110000-8,,1.4.6. Contracte menor de 10.000 o més - contractació d’activitat d’educació viària en entorn lúdic adreçat als infants els dies 27 al 30 de desembre de 2024.
servei,subministrament,65210000-8,,1.4.6. Contracte menor de 10.000 o més - Modificació escomesa gas Camp de Futbol - Tennis
subministrament,servei,44115710-9,,1.4.6. Contracte menor de 10.000 o més - Subministrament de marquesina pel pati – dipòsit de vehicles de l’edifici de Seguretat Ciutadana
subministrament,servei,32342410-9,,1.4.6. Contracte menor de 10.000 o més - compra equip de megafonia destinat al sistema de seguretat de la zona Litoral.
subministrament,servei,32342410-9,,1.4.6. Contracte menor de 10.000 o més - Per la instal·lació d’equip de megafonia destinat al sistema de seguretat de la zona litoral
obra,servei,45212290-5||39293400-6||45212290-5||39293400-6||45212290-5||77320000-9,,"L’objecte del contracte que es proposa són els treballs continguts en el projecte presentat per Cristina Bernabé López, enginyera de camins, canals i ports amb el número de col·legiada 36.276. Aquests treballs pressuposen l’adquisició prèvia de la gespa artificial a instal·lar, per la qual cosa el contracte pot catalogar-se com mixt de subministraments i obres, sent la prestació principal la d’obres per la seva importància en el conjunt de les prestacions previstes."
subministrament,servei,16700000-2||16700000-2||16700000-2,,L'objecte d'aquest contracte és la regulació del subministrament d'un tractor pel servei de neteja i manteniment de les platges de Cunit
obra,servei,45222100-0||45222100-0,,"Les obres necessàries per la millora del Parc Mediambiental, que dona servei de recollida, neteja i trituració al nucli de Cunit, consistent en actuacions dirigides a renovar, reparar i actualitzar les instal·lacions, per tal de garantir una millor seguretat i oferir un servei de deixalleria adequat, adaptat a la normativa vigent"
obra,servei,45112711-2||45112711-2,,L’objecte del contracte que es proposa són els treballs continguts en el Projecte tècnic per la renovació de l’espai de Jocs i zones d’estada C/Montcada 2 de Cunit.
subministrament,servei,48900000-7||48900000-7||48900000-7,,"La contractació d'un programari com a servei (software as a service), accessible via web, que permeti la realització de les tasques de Fiscalització de Requisits Bàsics (FRB) dels expedients en què aquesta fiscalització sigui responsabilitat de l'Àrea de Intervenció de l'Ajuntament de Cunit, així com les tasques de Control Permanent Previ (CPP) dels expedients el control dels quals sigui responsabilitat de l'Àrea d'Intervenció de l'Ajuntament de Cunit"
obra,servei,45233200-1||45233200-1||45233200-1,,"Projecte constructiu per a la millora de la seguretat de vianants i bicicletes al Passeig Marítim, a l'Av del Castell i al carrer Calafell entre el carrer de les Sorres i l’estació."
